Longitude,Latitude,Community,School,Year,TotalEnrollmentK12,TotalTeacherCount,StudentTeacherRatio,SchoolDistrict,In_Cohort,Graduates,GraduationRate
-152.398204978,57.793215488,Kodiak,AKTEACH,2015,101,2,126.3,Kodiak Island Borough School District,19,9,0.4737
-152.398204978,57.793215488,Kodiak,AKTEACH,2016,112,1,111.6,Kodiak Island Borough School District,20,10,0.5
-152.398204978,57.793215488,Kodiak,AKTEACH,2017,142,3,67.62,Kodiak Island Borough School District,19,8,0.4211
-152.398204978,57.793215488,Kodiak,AKTEACH,2018,185,3,80.43,Kodiak Island Borough School District,18,9,0.5
-152.398204978,57.793215488,Kodiak,AKTEACH,2019,125,1,125,Kodiak Island Borough School District,14,6,0.4286
-152.398204978,57.793215488,Kodiak,AKTEACH,2020,98,1,98,Kodiak Island Borough School District,7,4,0.5714
-152.398204978,57.793215488,Kodiak,AKTEACH,2021,230,3,92,Kodiak Island Borough School District,6,3,0.5
-149.886960889,61.217884736,Anchorage,AVAIL School,2018,101,4,25.57,Anchorage School District,64,34,0.5313
-149.886960889,61.217884736,Anchorage,AVAIL School,2020,86,6,17.13,Anchorage School District,47,21,0.4468
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2013,395,25,17.7,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2014,377,27,16.4,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2015,362,28,16.4,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2016,341,27,15.2,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2017,314,24,15.39,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2018,313,23,15.97,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2019,296,19,16.44,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2020,280,24,15.46,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2021,222,21,14.52,Anchorage School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2013,238,18,19.1,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2014,235,19,14.3,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2015,234,20,13.9,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2016,241,19,15.5,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2017,244,18,14.49,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2018,247,18,15.25,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2019,254,19,17.39,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2020,254,19,14.41,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2021,253,19,14.74,Matanuska-Susitna Borough School District,,,
-176.634669968,51.8745376790001,Adak,Adak School,2013,15,4,5,Aleutian Region School District,,,
-176.634669968,51.8745376790001,Adak,Adak School,2014,21,4,6.3,Aleutian Region School District,,,
-176.634669968,51.8745376790001,Adak,Adak School,2015,25,3,12.5,Aleutian Region School District,1,1,1.0
-176.634669968,51.8745376790001,Adak,Adak School,2016,21,3,10.4,Aleutian Region School District,1,1,1.0
-176.634669968,51.8745376790001,Adak,Adak School,2017,15,2,7.5,Aleutian Region School District,2,2,1.0
-176.634669968,51.8745376790001,Adak,Adak School,2018,13,2,7.5,Aleutian Region School District,0,0,
-176.634669968,51.8745376790001,Adak,Adak School,2019,12,2,6,Aleutian Region School District,1,0,0.0
-176.634669968,51.8745376790001,Adak,Adak School,2020,18,2,9.5,Aleutian Region School District,,,
-176.634669968,51.8745376790001,Adak,Adak School,2021,15,2,7.5,Aleutian Region,,,
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,2013,328,23,15.1,Anchorage School District,,,
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,2014,311,28,13.8,Anchorage School District,,,
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,2015,321,26,13.8,Anchorage School District,,,
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,2016,337,29,14.5,Anchorage School District,,,
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,2017,319,27,14.34,Anchorage School District,,,
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,2018,317,26,14.93,Anchorage School District,,,
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,2019,319,22,15.28,Anchorage School District,,,
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,2020,285,28,12.75,Anchorage School District,,,
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,2021,242,29,10.44,Anchorage School District,,,
-154.173244179,56.9468177750001,Akhiok,Akhiok School,2013,20,2,9.6,Kodiak Island Borough School District,,,
-154.173244179,56.9468177750001,Akhiok,Akhiok School,2014,22,3,11,Kodiak Island Borough School District,,,
-154.173244179,56.9468177750001,Akhiok,Akhiok School,2015,27,3,8.7,Kodiak Island Borough School District,0,0,
-154.173244179,56.9468177750001,Akhiok,Akhiok School,2016,25,5,7.7,Kodiak Island Borough School District,1,1,1.0
-154.173244179,56.9468177750001,Akhiok,Akhiok School,2017,27,3,9,Kodiak Island Borough School District,4,4,1.0
-154.173244179,56.9468177750001,Akhiok,Akhiok School,2018,19,2,9.5,Kodiak Island Borough School District,1,1,1.0
-154.173244179,56.9468177750001,Akhiok,Akhiok School,2019,14,2,7.33,Kodiak Island Borough School District,2,1,0.5
-154.173244179,56.9468177750001,Akhiok,Akhiok School,2020,16,2,8,Kodiak Island Borough School District,1,1,1.0
-154.173244179,56.9468177750001,Akhiok,Akhiok School,2021,11,4,4.87,Kodiak Island Borough School District,,,
-161.449090795,60.913809244,Akiachak,Akiachak School,2013,181,20,9.4,Yupiit School District,,,
-161.449090795,60.913809244,Akiachak,Akiachak School,2014,182,16,12,Yupiit School District,,,
-161.449090795,60.913809244,Akiachak,Akiachak School,2015,211,18,13.6,Yupiit School District,15,7,0.4667
-161.449090795,60.913809244,Akiachak,Akiachak School,2016,210,17,13,Yupiit School District,18,9,0.5
-161.449090795,60.913809244,Akiachak,Akiachak School,2017,196,18,11.99,Yupiit School District,14,7,0.5
-161.449090795,60.913809244,Akiachak,Akiachak School,2018,197,15,13.42,Yupiit School District,11,7,0.6364
-161.449090795,60.913809244,Akiachak,Akiachak School,2019,202,15,13.6,Yupiit School District,19,9,0.4737
-161.449090795,60.913809244,Akiachak,Akiachak School,2020,213,16,13.92,Yupiit School District,18,11,0.6111
-161.449090795,60.913809244,Akiachak,Akiachak School,2021,214,14,15.29,Yupiit School District,15,7,0.4667
-161.23002391,60.9074919770001,Akiak,Akiak School,2013,102,13,7.9,Yupiit School District,,,
-161.23002391,60.9074919770001,Akiak,Akiak School,2014,107,13,8.8,Yupiit School District,,,
-161.23002391,60.9074919770001,Akiak,Akiak School,2015,107,11,10.6,Yupiit School District,8,5,0.625
-161.23002391,60.9074919770001,Akiak,Akiak School,2016,116,10,12.6,Yupiit School District,6,5,0.8333
-161.23002391,60.9074919770001,Akiak,Akiak School,2017,127,11,13.6,Yupiit School District,4,3,0.75
-161.23002391,60.9074919770001,Akiak,Akiak School,2018,110,11,10.18,Yupiit School District,4,2,0.5
-161.23002391,60.9074919770001,Akiak,Akiak School,2019,121,8,15.12,Yupiit School District,13,9,0.6923
-161.23002391,60.9074919770001,Akiak,Akiak School,2020,131,11,11.91,Yupiit School District,10,5,0.5
-161.23002391,60.9074919770001,Akiak,Akiak School,2021,148,11,13.45,Yupiit School District,10,6,0.6
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,2013,71,9,11.1,Lower Kuskokwim School District,,,
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,2014,79,11,10.7,Lower Kuskokwim School District,,,
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,2015,82,7,15.3,Lower Kuskokwim School District,2,1,0.5
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,2016,76,8,12.3,Lower Kuskokwim School District,5,5,1.0
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,2017,89,7,15.89,Lower Kuskokwim School District,6,2,0.3333
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,2018,99,7,15.61,Lower Kuskokwim School District,7,7,1.0
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,2019,92,6,17.7,Lower Kuskokwim School District,5,2,0.4
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,2020,113,6,24.03,Lower Kuskokwim School District,8,6,0.75
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,2021,94,5,18.8,Lower Kuskokwim School District,7,5,0.7143
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,2013,125,8,15.2,Lower Kuskokwim School District,,,
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,2014,117,10,14.9,Lower Kuskokwim School District,,,
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,2015,111,9,13.5,Lower Kuskokwim School District,7,4,0.5714
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,2016,109,10,13.4,Lower Kuskokwim School District,9,5,0.5556
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,2017,108,7,17.14,Lower Kuskokwim School District,5,4,0.8
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,2018,115,8,17.3,Lower Kuskokwim School District,4,0,0.0
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,2019,122,8,16.86,Lower Kuskokwim School District,7,5,0.7143
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,2020,103,6,18.5,Lower Kuskokwim School District,8,5,0.625
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,2021,104,7,16.14,Lower Kuskokwim School District,8,7,0.875
-165.776777641,54.1337647660001,Akutan,Akutan School,2013,14,2,7,Aleutians East Borough School District,,,
-165.776777641,54.1337647660001,Akutan,Akutan School,2014,13,2,6.5,Aleutians East Borough School District,,,
-165.776777641,54.1337647660001,Akutan,Akutan School,2015,17,1,17,Aleutians East Borough School District,2,2,1.0
-165.776777641,54.1337647660001,Akutan,Akutan School,2016,16,3,8,Aleutians East Borough School District,,,
-165.776777641,54.1337647660001,Akutan,Akutan School,2017,10,2,5,Aleutians East Borough School District,1,1,1.0
-165.776777641,54.1337647660001,Akutan,Akutan School,2018,13,2,6.63,Aleutians East Borough School District,1,1,1.0
-165.776777641,54.1337647660001,Akutan,Akutan School,2019,18,2,9.5,Aleutians East Borough School District,,,
-165.776777641,54.1337647660001,Akutan,Akutan School,2020,20,2,10.53,Aleutians East Borough School District,1,1,1.0
-165.776777641,54.1337647660001,Akutan,Akutan School,2021,17,2,8.5,Aleutians East,,,
-160.027722935,70.6402246380001,Wainwright,Alak School,2013,137,15,8.9,North Slope Borough School District,,,
-160.027722935,70.6402246380001,Wainwright,Alak School,2014,136,15,9.1,North Slope Borough School District,,,
-160.027722935,70.6402246380001,Wainwright,Alak School,2015,147,14,10.5,North Slope Borough School District,8,5,0.625
-160.027722935,70.6402246380001,Wainwright,Alak School,2016,153,14,11.1,North Slope Borough School District,11,6,0.5455
-160.027722935,70.6402246380001,Wainwright,Alak School,2017,147,14,11.93,North Slope Borough School District,8,7,0.875
-160.027722935,70.6402246380001,Wainwright,Alak School,2018,149,14,12,North Slope Borough School District,11,8,0.7273
-160.027722935,70.6402246380001,Wainwright,Alak School,2019,156,14,12.68,North Slope Borough School District,7,5,0.7143
-160.027722935,70.6402246380001,Wainwright,Alak School,2020,160,15,11.2,North Slope Borough School District,12,6,0.5
-160.027722935,70.6402246380001,Wainwright,Alak School,2021,158,16,10.5,North Slope Borough School District,9,7,0.7778
-164.621576459,62.687086047,Alakanuk,Alakanuk School,2013,225,16,13.9,Lower Yukon School District,,,
-164.621576459,62.687086047,Alakanuk,Alakanuk School,2014,243,16,15.3,Lower Yukon School District,,,
-164.621576459,62.687086047,Alakanuk,Alakanuk School,2015,240,17,13.8,Lower Yukon School District,11,11,1.0
-164.621576459,62.687086047,Alakanuk,Alakanuk School,2016,207,17,12.9,Lower Yukon School District,14,8,0.5714
-164.621576459,62.687086047,Alakanuk,Alakanuk School,2017,225,16,14.56,Lower Yukon School District,19,9,0.4737
-164.621576459,62.687086047,Alakanuk,Alakanuk School,2018,226,15,15.07,Lower Yukon School District,16,11,0.6875
-164.621576459,62.687086047,Alakanuk,Alakanuk School,2019,207,15,14.27,Lower Yukon School District,22,18,0.8182
-164.621576459,62.687086047,Alakanuk,Alakanuk School,2020,217,14,16.36,Lower Yukon School District,16,12,0.75
-164.621576459,62.687086047,Alakanuk,Alakanuk School,2021,231,15,16.63,Lower Yukon School District,12,10,0.8333
-149.832593331,61.1929544540001,Anchorage,Alaska Middle College School,2018,152,2,77.55,Anchorage School District,56,55,0.9821
-149.832593331,61.1929544540001,Eagle River,Alaska Middle College School,2019,239,4,61.44,Anchorage School District,124,123,0.9919
-149.832593331,61.1929544540001,Eagle River,Alaska Middle College School,2019,239,4,61.44,Anchorage School District,124,123,0.9919
-149.832593331,61.1929544540001,Eagle River,Alaska Middle College School,2020,254,3,84.67,Anchorage School District,139,138,0.9928
-149.832593331,61.1929544540001,Anchorage,Alaska Middle College School,2021,293,2,146.5,Anchorage School District,143,142,0.993
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,2013,203,14,14.9,Anchorage School District,,,
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,2014,287,20,14.4,Anchorage School District,,,
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,2015,318,22,14.9,Anchorage School District,,,
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,2016,310,20,16.2,Anchorage School District,,,
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,2017,302,21,15.14,Anchorage School District,,,
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,2018,272,22,13.63,Anchorage School District,,,
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,2019,306,22,15.04,Anchorage School District,,,
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,2020,299,21,15.05,Anchorage School District,,,
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,2021,286,21,14.43,Anchorage School District,,,
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,2013,69,1,80.1,Alaska Gateway School District,,,
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,2014,100,1,85.3,Alaska Gateway School District,,,
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,2015,87,1,77.8,Alaska Gateway School District,9,2,0.2222
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,2016,97,1,67.4,Alaska Gateway School District,11,2,0.1818
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,2017,81,1,98.78,Alaska Gateway School District,11,3,0.2727
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,2018,52,1,57.78,Alaska Gateway School District,9,1,0.1111
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,2019,44,1,52.94,Alaska Gateway School District,7,5,0.7143
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,2020,59,1,65.56,Alaska Gateway School District,7,2,0.2857
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,2021,65,1,73.33,Alaska Gateway,4,1,0.25
-149.776030699,61.194076539,Anchorage,Alaska State School for Deaf and Hard of Hearing,2017,32,0,0,Anchorage School District,3,2,0.6667
-149.776030699,61.194076539,Anchorage,Alaska State School for Deaf and Hard of Hearing,2018,31,0,0,Anchorage School District,3,2,0.6667
-149.776030699,61.194076539,Anchorage,Alaska State School for Deaf and Hard of Hearing,2019,26,0,0,Anchorage School District,1,0,0.0
-149.776030699,61.194076539,Anchorage,Alaska State School for Deaf and Hard of Hearing,2020,29,2,15,Anchorage School District,2,1,0.5
-149.776030699,61.194076539,Anchorage,Alaska State School for Deaf and Hard of Hearing,2021,22,2,11,Anchorage School District,1,0,0.0
-131.57724653,55.1262152410001,Wrangell,Alaska Virtual Academy,2013,89,1,1644.5,Wrangell Public School District,,,
-131.57724653,55.1262152410001,Wrangell,Alaska Virtual Academy,2014,76,1,1860,Wrangell Public School District,,,
-131.57724653,55.1262152410001,Wrangell,Alaska Virtual Academy,2015,65,0,0,Annette Island School District,,,
-158.626155241,59.281203067,Aleknagik,Aleknagik School,2013,27,3,9.2,Southwest Region School District,,,
-158.626155241,59.281203067,Aleknagik,Aleknagik School,2014,24,4,9.6,Southwest Region School District,,,
-158.626155241,59.281203067,Aleknagik,Aleknagik School,2015,26,3,10.4,Southwest Region School District,,,
-158.626155241,59.281203067,Aleknagik,Aleknagik School,2016,27,3,11,Southwest Region School District,0,0,
-158.626155241,59.281203067,Aleknagik,Aleknagik School,2017,26,4,7.43,Southwest Region School District,0,0,
-158.626155241,59.281203067,Aleknagik,Aleknagik School,2018,24,4,6.86,Southwest Region School District,,,
-158.626155241,59.281203067,Aleknagik,Aleknagik School,2019,23,4,6,Southwest Region School District,2,0,0.0
-158.626155241,59.281203067,Aleknagik,Aleknagik School,2020,30,4,9.87,Southwest Region School District,8,6,0.75
-158.626155241,59.281203067,Aleknagik,Aleknagik School,2021,28,4,8.53,Southwest Region School District,3,3,1.0
-160.475598673,55.351589017,Sand Point,Aleutians Correspondence Education School,2013,3,0,0,Aleutians East Borough School District,,,
-152.644474882,66.5632756000001,New Allakaket,Allakaket School,2013,39,4,10.1,Yukon-Koyukuk School District,,,
-152.644474882,66.5632756000001,New Allakaket,Allakaket School,2014,36,6,6,Yukon-Koyukuk School District,,,
-152.644474882,66.5632756000001,New Allakaket,Allakaket School,2015,32,5,6.4,Yukon-Koyukuk School District,1,0,0.0
-152.644474882,66.5632756000001,New Allakaket,Allakaket School,2016,31,9,6.2,Yukon-Koyukuk School District,4,2,0.5
-152.644474882,66.5632756000001,New Allakaket,Allakaket School,2017,27,5,5.8,Yukon-Koyukuk School District,2,1,0.5
-152.644474882,66.5632756000001,New Allakaket,Allakaket School,2018,25,5,5.6,Yukon-Koyukuk School District,1,0,0.0
-152.644474882,66.5632756000001,Allakaket,Allakaket School,2019,22,7,5.29,Yukon-Koyukuk School District,,,
-152.644474882,66.5632756000001,Allakaket,Allakaket School,2020,29,7,6.68,Yukon-Koyukuk School District,1,1,1.0
-152.644474882,66.5632756000001,New Allakaket,Allakaket School,2021,19,6,6.07,Yukon-Koyukuk School District,,,
-149.524370471,61.3012472240001,Anchorage,Alpenglow Elementary,2013,564,32,17.8,Anchorage School District,,,
-149.524370471,61.3012472240001,Anchorage,Alpenglow Elementary,2014,554,38,17.3,Anchorage School District,,,
-149.524370471,61.3012472240001,Anchorage,Alpenglow Elementary,2015,567,38,17.6,Anchorage School District,,,
-149.524370471,61.3012472240001,Anchorage,Alpenglow Elementary,2016,580,39,17.4,Anchorage School District,,,
-149.524370471,61.3012472240001,Anchorage,Alpenglow Elementary,2017,517,38,15.91,Anchorage School District,,,
-149.524370471,61.3012472240001,Anchorage,Alpenglow Elementary,2018,516,36,16.32,Anchorage School District,,,
-149.524370471,61.3012472240001,Eagle River,Alpenglow Elementary,2019,477,31,16.01,Anchorage School District,,,
-149.524370471,61.3012472240001,Anchorage,Alpenglow Elementary,2020,476,28,18.59,Anchorage School District,,,
-149.524370471,61.3012472240001,Anchorage,Alpenglow Elementary,2021,297,28,12.79,Anchorage School District,,,
-147.692754975,64.8469044560001,Fairbanks,Alternative Learning Systems,2013,126,4,33.8,Fairbanks North Star Borough School District,,,
-147.692754975,64.8469044560001,Fairbanks,Alternative Learning Systems,2015,109,1,112.8,Fairbanks North Star Borough School District,25,5,0.2
-147.692754975,64.8469044560001,Fairbanks,Alternative Learning Systems,2016,106,4,27.3,Fairbanks North Star Borough School District,15,1,0.0667
-147.692754975,64.8469044560001,Fairbanks,Alternative Learning Systems,2017,101,4,27.75,Fairbanks North Star Borough School District,22,7,0.3182
-147.692754975,64.8469044560001,Fairbanks,Alternative Learning Systems,2018,99,5,22.2,Fairbanks North Star Borough School District,13,4,0.3077
-147.692754975,64.8469044560001,Fairbanks,Alternative Learning Systems,2019,94,7,19.08,Fairbanks North Star Borough School District,5,1,0.2
-147.692754975,64.8469044560001,Fairbanks,Alternative Learning Systems,2020,92,7,16.62,Fairbanks North Star Borough School District,10,2,0.2
-147.692754975,64.8469044560001,Fairbanks,Alternative Learning Systems,2021,229,58,4.19,Fairbanks Norht Star Borough School District,82,25,0.3049
-157.859468758,67.0854282700001,Ambler,Ambler School,2013,65,7,9.5,Northwest Arctic Borough School District,,,
-157.859468758,67.0854282700001,Ambler,Ambler School,2014,71,7,12.6,Northwest Arctic Borough School District,,,
-157.859468758,67.0854282700001,Ambler,Ambler School,2015,68,12,6,Northwest Arctic Borough School District,6,5,0.8333
-157.859468758,67.0854282700001,Ambler,Ambler School,2016,82,12,7.1,Northwest Arctic Borough School District,3,3,1.0
-157.859468758,67.0854282700001,Ambler,Ambler School,2017,68,7,11,Northwest Arctic Borough School District,2,1,0.5
-157.859468758,67.0854282700001,Ambler,Ambler School,2018,65,7,10,Northwest Arctic Borough School District,2,0,0.0
-157.859468758,67.0854282700001,Ambler,Ambler School,2019,70,6,12.67,Northwest Arctic Borough School District,2,0,0.0
-157.859468758,67.0854282700001,Ambler,Ambler School,2020,67,4,18.25,Northwest Arctic Borough School District,6,4,0.6667
-157.859468758,67.0854282700001,Ambler,Ambler School,2021,67,6,11.83,Northwest Arctic Borough School District,4,3,0.75
-149.494428487,61.578738458,Meadow Lakes,American Charter Academy,2013,185,6,42.3,Matanuska-Susitna Borough School District,,,
-149.494428487,61.578738458,Meadow Lakes,American Charter Academy,2014,191,11,18.4,Matanuska-Susitna Borough School District,,,
-149.494428487,61.578738458,Meadow Lakes,American Charter Academy,2015,185,11,18.8,Matanuska-Susitna Borough School District,7,5,0.7143
-149.494428487,61.578738458,Meadow Lakes,American Charter Academy,2016,174,11,16.2,Matanuska-Susitna Borough School District,6,6,1.0
-149.494428487,61.578738458,Meadow Lakes,American Charter Academy,2017,191,13,15.93,Matanuska-Susitna Borough School District,6,4,0.6667
-149.494428487,61.578738458,Meadow Lakes,American Charter Academy,2018,211,14,16.23,Matanuska-Susitna Borough School District,1,1,1.0
-149.494428487,61.578738458,Meadow Lakes,American Charter Academy,2019,193,13,15.76,Matanuska-Susitna Borough School District,,,
-149.494428487,61.578738458,Meadow Lakes,American Charter Academy,2020,197,12,17.51,Matanuska-Susitna Borough School District,,,
-149.494428487,61.578738458,Meadow Lakes,American Charter Academy,2021,172,12,15.29,Matanuska-Susitna Borough School District,,,
-149.734892338,61.1924972630001,Anchorage,Anchorage STrEaM Academy,2017,73,6,13.52,Anchorage School District,,,
-149.734892338,61.1924972630001,Anchorage,Anchorage STrEaM Academy,2018,109,9,12.11,Anchorage School District,,,
-149.734892338,61.1924972630001,Anchorage,Anchorage STrEaM Academy,2019,151,9,16.78,Anchorage School District,,,
-149.734892338,61.1924972630001,Anchorage,Anchorage STrEaM Academy,2020,148,10,14.8,Anchorage School District,,,
-149.734892338,61.1924972630001,Anchorage,Anchorage STrEaM Academy,2021,155,12,14.03,Anchorage School District,,,
-147.073579222,64.6799297750001,Moose Creek,Anderson Elementary,2013,262,17,17.2,Fairbanks North Star Borough School District,,,
-147.073579222,64.6799297750001,Moose Creek,Anderson Elementary,2015,228,13,19.6,Fairbanks North Star Borough School District,,,
-147.073579222,64.6799297750001,Moose Creek,Anderson Elementary,2016,238,10,24,Fairbanks North Star Borough School District,,,
-147.073579222,64.6799297750001,Moose Creek,Anderson Elementary,2017,238,13,19.08,Fairbanks North Star Borough School District,,,
-147.073579222,64.6799297750001,Moose Creek,Anderson Elementary,2018,209,12,18,Fairbanks North Star Borough School District,,,
-147.073579222,64.6799297750001,Eielson AFB,Anderson Elementary,2019,189,13,16.42,Fairbanks North Star Borough School District,,,
-147.073579222,64.6799297750001,Eielson AFB,Anderson Elementary,2020,217,13,19.17,Fairbanks North Star Borough School District,,,
-147.073579222,64.6799297750001,Moose Creek,Anderson Elementary,2021,205,13,17.68,Fairbanks Norht Star Borough School District,,,
-149.18850625,64.3430846840001,Anderson,Anderson School,2013,23,7,5.3,Denali Borough School District,,,
-149.18850625,64.3430846840001,Anderson,Anderson School,2014,16,5,5.8,Denali Borough School District,,,
-149.18850625,64.3430846840001,Anderson,Anderson School,2015,19,6,5.9,Denali Borough School District,1,0,0.0
-149.18850625,64.3430846840001,Anderson,Anderson School,2016,32,8,9,Denali Borough School District,3,3,1.0
-149.18850625,64.3430846840001,Anderson,Anderson School,2017,31,7,6.86,Denali Borough School District,2,1,0.5
-149.18850625,64.3430846840001,Anderson,Anderson School,2018,33,6,7.39,Denali Borough School District,3,3,1.0
-149.18850625,64.3430846840001,Anderson,Anderson School,2019,27,7,5.4,Denali Borough School District,,,
-149.18850625,64.3430846840001,Anderson,Anderson School,2020,33,7,7.14,Denali Borough School District,3,3,1.0
-149.18850625,64.3430846840001,Anderson,Anderson School,2021,27,5,6.57,Denali Borough School District,2,1,0.5
-158.108702699,64.7178000930001,Nulato,Andrew K. Demoski School,2013,40,7,6.8,Yukon-Koyukuk School District,,,
-158.108702699,64.7178000930001,Nulato,Andrew K. Demoski School,2014,43,6,7.2,Yukon-Koyukuk School District,,,
-158.108702699,64.7178000930001,Nulato,Andrew K. Demoski School,2015,32,5,7.2,Yukon-Koyukuk School District,2,1,0.5
-158.108702699,64.7178000930001,Nulato,Andrew K. Demoski School,2016,40,6,8,Yukon-Koyukuk School District,6,5,0.8333
-158.108702699,64.7178000930001,Nulato,Andrew K. Demoski School,2017,46,5,9.44,Yukon-Koyukuk School District,6,6,1.0
-158.108702699,64.7178000930001,Nulato,Andrew K. Demoski School,2018,45,5,9.4,Yukon-Koyukuk School District,5,4,0.8
-158.108702699,64.7178000930001,Nulato,Andrew K. Demoski School,2019,43,6,9.57,Yukon-Koyukuk School District,4,4,1.0
-158.108702699,64.7178000930001,Nulato,Andrew K. Demoski School,2020,43,7,7.68,Yukon-Koyukuk School District,6,6,1.0
-158.108702699,64.7178000930001,Nulato,Andrew K. Demoski School,2021,42,7,6.86,Yukon-Koyukuk School District,,,
-134.584679653,57.497714886,Angoon,Angoon School,2013,65,9,8.3,Chatham School District,,,
-134.584679653,57.497714886,Angoon,Angoon School,2014,72,6,12.3,Chatham School District,,,
-134.584679653,57.497714886,Angoon,Angoon School,2015,78,9,10,Chatham School District,8,6,0.75
-134.584679653,57.497714886,Angoon,Angoon School,2016,68,11,8,Chatham School District,5,5,1.0
-134.584679653,57.497714886,Angoon,Angoon School,2017,74,8,10.03,Chatham School District,3,3,1.0
-134.584679653,57.497714886,Angoon,Angoon School,2018,78,8,10.53,Chatham School District,6,5,0.8333
-134.584679653,57.497714886,Angoon,Angoon School,2019,73,8,10.56,Chatham School District,7,7,1.0
-134.584679653,57.497714886,Angoon,Angoon School,2020,64,7,9.29,Chatham School District,5,4,0.8
-134.584679653,57.497714886,Angoon,Angoon School,2021,67,8,9.31,Chatham School District,4,3,0.75
-159.550107486,61.5806004660001,Aniak,Aniak Jr/Sr High School,2013,59,8,9.6,Kuspuk School District,,,
-159.550107486,61.5806004660001,Aniak,Aniak Jr/Sr High School,2014,56,6,16.3,Kuspuk School District,,,
-159.550107486,61.5806004660001,Aniak,Aniak Jr/Sr High School,2015,55,5,12.2,Kuspuk School District,9,8,0.8889
