Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,2021_Population,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
-158.76308415,56.25373123,Chignik Lake,CDP,Community,Lake and Peninsula Borough,63,1,1,1
-131.6373989,55.6028174200001,Loring,CDP,Place of Interest,Ketchikan Gateway Borough,0,0,0,0
-149.11573078,64.0170859300001,Ferry,CDP,Place of Interest,Denali Borough,17,0,0,0
-163.00913774,69.7431228900001,Point Lay,CDP,Community,North Slope Borough,308,1,0,1
-151.61311471,59.81132569,Nikolaevsk,CDP,Community,Kenai Peninsula Borough,343,0,0,0
-151.45273429,59.66696928,Kachemak,2nd Class City,Community,Kenai Peninsula Borough,620,1,0,0
-133.08464582,55.5574327800001,Big Salt,Unincorporated,Community,Prince of Wales-Hyder Census Area,27,0,0,0
-156.06195251,62.9879595200001,Takotna,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,56,1,0,1
-158.0075,62.4536000000001,Flat,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,0,1,0,0
-145.76017488,60.54406292,Cordova,Home Rule City,Community,Chugach Census Area,2545,1,1,0
-166.21260212,68.8801672700001,Cape Lisburne,Locality,Place of Interest,North Slope Borough,0,0,0,0
-149.35258984,60.3576311800001,Primrose,CDP,Community,Kenai Peninsula Borough,89,1,0,0
-145.53740671,63.9822426900001,Gold Sand Acres,Unincorporated,Community,Southeast Fairbanks Census Area,69,0,0,0
-162.71498738,55.2065679500001,Cold Bay,2nd Class City,Community,Aleutians East Borough,54,1,0,1
-152.31468697,63.88261006,Lake Minchumina,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,37,1,1,0
-145.41422234,62.0704106800001,Copperville,Unincorporated,Place of Interest,Copper River Census Area,0,1,0,0
-163.03671154,64.5423909500001,Golovin,2nd Class City,Community,Nome Census Area,178,1,0,1
-161.04682576,66.83334504,Noorvik,2nd Class City,Community,Northwest Arctic Borough,640,1,0,1
-156.76100969,71.2893977300001,Utqiagvik,1st Class City,Community,North Slope Borough,4877,1,0,1
-151.50578451,66.92462485,Evansville,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,12,1,0,0
-152.88344189,57.86662239,Port Lions,2nd Class City,Community,Kodiak Island Borough,170,1,1,1
-153.9814353,57.5370683300001,Larsen Bay,2nd Class City,Community,Kodiak Island Borough,33,1,0,0
-136.0314547,59.44650625,Mosquito Lake,CDP,Place of Interest,Haines Borough,294,1,0,0
-150.37835622,61.0350394000001,Point Possession,CDP,Place of Interest,Kenai Peninsula Borough,10,1,0,0
-133.57130446,56.1508274600001,Shakan Bay,Unincorporated,Place of Interest,Prince of Wales-Hyder Census Area,0,0,0,0
-132.40392924,55.5396225600001,Kasaan,2nd Class City,Community,Prince of Wales-Hyder Census Area,86,1,0,1
-161.23000172,60.90749213,Akiak,2nd Class City,Community,Bethel Census Area,479,1,0,1
-162.27641211,60.8572982700001,Atmautluak,Unincorporated CDP,Community,Bethel Census Area,370,1,0,1
-158.56082655,58.8159796400001,Ekuk,Unincorporated,Place of Interest,Dillingham Census Area,2,1,0,0
-157.399544,57.51228753,Ugashik,CDP,Place of Interest,Lake and Peninsula Borough,3,1,1,0
-147.72124822,64.83969225,Fairbanks,Home Rule City,Community,Fairbanks North Star Borough,33522,0,0,0
-151.50835587,66.92186904,Bettles,2nd Class City,Community,Yukon-Koyukuk Census Area,22,1,0,0
-132.97770415,56.81669536,Kupreanof,2nd Class City,Community,Petersburg Borough,23,1,0,0
-144.06674913,65.8266465400001,Circle,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,76,1,1,1
-154.25821908,66.0458727800001,Hughes,2nd Class City,Community,Yukon-Koyukuk Census Area,84,1,0,1
-176.64029588,51.86824598,Adak,2nd Class City,Community,Aleutians West Census Area,179,1,1,1
-149.60355194,61.62425754,Meadow Lakes,CDP,Community,Matanuska-Susitna Borough,9485,0,0,0
-158.62162503,59.2792073700001,Aleknagik,2nd Class City,Community,Dillingham Census Area,238,1,0,1
-136.22974756,57.9606687,Pelican,1st Class City,Community,Hoonah-Angoon Census Area,92,1,1,0
-151.22378748,59.5976979500001,Halibut Cove,CDP,Place of Interest,Kenai Peninsula Borough,64,0,0,0
-135.22829141,57.7810313900001,Tenakee Springs,2nd Class City,Community,Hoonah-Angoon Census Area,122,1,0,0
-167.89553765,53.38509408,Fort Glenn,Unincorporated,Place of Interest,Aleutians West Census Area,0,0,0,0
