Longitude,Latitude,Community,IncorporationType,AreaType,Population,Year,Is_Subsistence_Use,Is_Essential_Air_Service,Is_Environmentally_Threatened
-132.6500231,55.4822323000001,Hollis,Unincorporated CDP,Community,112,2016,1,0,0
-149.3682771,60.4864352800001,Moose Pass,CDP,Community,234,2015,0,0,0
-149.4392242,60.10312795,Seward,Home Rule City,Community,2740,2015,0,0,0
-161.2018498,56.0012060400001,Nelson Lagoon,CDP,Community,34,2016,1,0,1
-160.3157629,61.5381853700001,Upper Kalskag,2nd Class City,Community,231,2016,1,0,1
-145.4960007,63.0324502400001,Paxson,Unincorporated CDP,Community,15,2016,1,0,0
-157.399544,57.51228753,Ugashik,CDP,Place of Interest,15,2015,1,1,0
-155.9035402,59.32534731,Igiugig,CDP,Community,53,2016,1,1,1
-151.7358661,68.1418507700001,Anaktuvuk Pass,2nd Class City,Community,393,2015,1,0,1
-163.175161,62.0514716000001,Saint Mary's,1st Class City,Community,587,2016,1,0,1
-145.1737915,63.8871444900001,Deltana,Unincorporated CDP,Community,2259,2016,1,0,0
-149.622229,60.91793289,Hope,CDP,Community,198,2014,0,0,0
-151.0810742,60.53130471,Ridgeway,CDP,Community,2204,2016,1,0,0
-161.9006125,59.7514267400001,Quinhagak,2nd Class City,Community,745,2015,1,0,1
-136.2297476,57.9606687,Pelican,1st Class City,Community,101,2015,1,1,0
-164.6675476,62.6869771400001,Alakanuk,2nd Class City,Community,730,2014,1,0,1
-151.6751012,60.04305213,Ninilchik,CDP,Community,860,2016,0,0,1
-149.3848482,61.61025377,Tanaina,CDP,Place of Interest,8869,2015,1,0,0
-135.338623,57.0490212600001,Sitka,Unified Home Rule Borough,Community,8920,2016,1,1,0
-145.1737915,63.8871444900001,Deltana,Unincorporated CDP,Community,2249,2015,1,0,0
-156.7824387,71.29234396,North Slope Borough,Non-Unified Home Rule Borough,Community,10420,2015,1,0,0
-149.1157308,64.0170859300001,Ferry,CDP,Place of Interest,32,2014,0,0,0
-151.919921,59.3544344900001,Nanwalek,CDP,Community,300,2016,1,0,1
-166.3652024,65.2629568300001,Teller,2nd Class City,Community,261,2015,1,0,1
-151.5575,59.6761111000001,Diamond Ridge,CDP,Community,1174,2015,1,0,0
-149.1177581,61.5997057600001,Palmer,Home Rule City,Community,6135,2015,0,0,0
-149.0459984,61.6283302300001,Lazy Mountain,CDP,Community,1526,2014,0,0,0
-151.5320066,59.64718757,Homer,1st Class City,Community,5153,2015,0,0,0
-157.0069244,58.71326678,South Naknek,CDP,Community,84,2015,1,1,1
-150.9990162,70.21731414,Nuiqsut,2nd Class City,Community,446,2016,1,0,1
-169.54528,56.6014257,Saint George,2nd Class City,Community,92,2014,1,0,1
-143.7975818,62.92939878,Mentasta Lake,Unincorporated CDP,Community,127,2014,1,0,0
-133.0846458,55.5574327800001,Big Salt,Unincorporated,Community,0,2015,0,0,0
-149.0459984,61.6283302300001,Lazy Mountain,CDP,Community,1568,2015,0,0,0
-166.1928612,60.38649408,Mekoryuk,2nd Class City,Community,222,2015,1,0,1
-132.5228223,55.6854862600001,Thorne Bay,2nd Class City,Community,532,2016,1,0,0
-161.0468258,66.83334504,Noorvik,2nd Class City,Community,639,2014,1,0,1
-145.5355408,68.12846168,Arctic Village,Unincorporated CDP,Community,180,2016,1,0,1
-144.0493401,63.65559219,Dot Lake Village,Unincorporated CDP,Place of Interest,64,2016,1,0,1
-152.3974812,57.7930013600001,Kodiak,Home Rule City,Community,6124,2016,0,0,0
-145.7366682,64.04716726,Delta Junction,2nd Class City,Community,1100,2015,0,0,0
-161.1943563,64.3545557,Shaktoolik,2nd Class City,Community,282,2014,1,0,1
-132.957763,56.8109592000001,Petersburg Borough,Non-Unified Home Rule Borough,Community,3209,2014,1,0,0
-149.4023031,60.1685445700001,Bear Creek,CDP,Community,2066,2016,1,0,0
-148.0123404,60.0655963200001,Chenega,Unincorporated CDP,Community,57,2015,1,0,1
-142.9237002,61.43287967,McCarthy,Unincorporated CDP,Community,34,2015,1,1,0
-159.5275949,61.5787638800001,Aniak,2nd Class City,Community,517,2016,1,0,1
-144.0667491,65.8266465400001,Circle,Unincorporated CDP,Community,119,2015,1,1,1
-164.5298469,62.7769473800001,Emmonak,2nd Class City,Community,856,2016,1,0,1
-159.4841633,55.9034342200001,Ivanof Bay,CDP,Place of Interest,7,2016,1,0,1
-152.3974812,57.7930013600001,Kodiak,Home Rule City,Community,6288,2015,0,0,0
-154.9061,59.7547000000001,Iliamna,CDP,Community,97,2015,1,0,1
-151.0430362,61.1721485100001,Beluga,CDP,Place of Interest,16,2014,1,0,0
-151.0713468,60.4895404100001,Kenai Peninsula Borough,2nd Class Borough,Community,57212,2014,1,0,0
-156.8771232,64.7426528600001,Galena,1st Class City,Community,488,2016,1,0,1
-135.4431478,58.41682002,Excursion Inlet,CDP,Place of Interest,12,2016,1,1,0
-157.1381905,66.8880443,Shungnak,2nd Class City,Community,308,2014,1,0,1
-163.5565366,63.0331139900001,Kotlik,2nd Class City,Community,621,2016,1,0,1
-151.3195796,60.36911853,Cohoe,CDP,Community,1394,2015,1,0,0
-161.9006125,59.7514267400001,Quinhagak,2nd Class City,Community,724,2014,1,0,1
-151.6131147,59.81132569,Nikolaevsk,CDP,Community,287,2016,0,0,0
-145.7601749,60.54406292,Cordova,Home Rule City,Community,2286,2014,1,1,0
-166.7342719,68.34808223,Point Hope,2nd Class City,Community,711,2016,1,0,1
-156.7824387,71.29234396,North Slope Borough,Non-Unified Home Rule Borough,Community,10079,2013,1,0,0
-153.2836713,57.21341891,Old Harbor,2nd Class City,Community,231,2016,1,0,1
-133.6072167,56.3223510700001,Port Protection,Unincorporated CDP,Community,57,2014,1,0,0
-163.7262756,62.08954141,Mountain Village,2nd Class City,Community,902,2015,1,0,1
-160.4980901,55.34090243,Sand Point,1st Class City,Community,946,2014,1,0,1
-151.2488059,60.5590139000001,Kenai,Home Rule City,Community,7229,2015,0,0,0
-151.2986599,59.7254375000001,Fritz Creek,CDP,Community,2107,2016,0,0,0
-157.3346559,61.7822606500001,Red Devil,Unincorporated CDP,Community,19,2015,1,0,0
-166.4922015,65.3344880500001,Brevig Mission,2nd Class City,Community,415,2015,1,0,1
-156.6676467,58.6813712700001,King Salmon,CDP,Community,337,2014,1,0,0
-161.5822568,59.1182251700001,Goodnews Bay,2nd Class City,Community,267,2015,1,0,1
-148.5485005,65.5228139800001,Livengood,Unincorporated CDP,Place of Interest,14,2014,1,0,0
-161.1648736,64.9306613100001,Koyuk,2nd Class City,Community,331,2016,1,0,1
-149.808407,60.4948727600001,Cooper Landing,CDP,Community,279,2014,0,0,0
-145.7366682,64.04716726,Delta Junction,2nd Class City,Community,1130,2016,0,0,0
-161.2300017,60.90749213,Akiak,2nd Class City,Community,380,2015,1,0,1
-159.5305977,62.6553703500001,Shageluk,2nd Class City,Community,79,2014,1,0,1
-170.4840268,63.6929776000001,Savoonga,2nd Class City,Community,723,2015,1,0,1
-156.7610097,71.2893977300001,Utqiagvik,1st Class City,Community,4617,2012,1,0,1
-157.0172713,58.7273345300001,Bristol Bay Borough,2nd Class Borough,Community,874,2016,1,0,0
-158.724932,64.3265639300001,Kaltag,2nd Class City,Community,172,2016,1,0,1
-141.8001468,63.0105644400001,Northway Junction,Unincorporated CDP,Place of Interest,64,2014,1,0,0
-151.2013355,61.9677230600001,Skwentna,CDP,Place of Interest,36,2016,1,0,0
-162.457405,60.8972172800001,Nunapitchuk,2nd Class City,Community,584,2016,1,0,1
-149.2399694,61.5740853200001,Gateway,CDP,Community,6472,2015,1,0,0
-142.0352638,62.05966564,Chisana,Unincorporated CDP,Place of Interest,4,2016,1,1,0
-161.5822568,59.1182251700001,Goodnews Bay,2nd Class City,Community,265,2016,1,0,1
-149.1083689,61.5997112700001,Matanuska-Susitna Borough,2nd Class Borough,Community,102598,2016,1,0,0
-163.4147388,54.8550308600001,False Pass,2nd Class City,Community,73,2015,1,1,1
-151.4022394,60.2264313800001,Clam Gulch,CDP,Community,167,2016,0,0,0
-161.8147503,59.00848275,Platinum,2nd Class City,Community,60,2014,1,0,1
-154.9061,59.7547000000001,Iliamna,CDP,Community,110,2016,1,0,1
-152.5039855,57.9232638,Ouzinkie,2nd Class City,Community,171,2014,1,0,1
-162.457405,60.8972172800001,Nunapitchuk,2nd Class City,Community,607,2015,1,0,1
-143.0117859,62.37195602,Nabesna,Unincorporated CDP,Place of Interest,1,2016,1,0,0
-163.5565366,63.0331139900001,Kotlik,2nd Class City,Community,653,2014,1,0,1
-135.509866,58.0558686300001,Game Creek,Unincorporated CDP,Place of Interest,27,2014,1,0,0
-166.7342719,68.34808223,Point Hope,2nd Class City,Community,711,2015,1,0,1
-152.6494805,66.56004842,Allakaket,2nd Class City,Community,169,2015,1,0,1
-143.7975818,62.92939878,Mentasta Lake,Unincorporated CDP,Community,125,2015,1,0,0
-147.1680556,61.9386111000001,Eureka Roadhouse,CDP,Place of Interest,38,2015,1,0,0
-149.0111034,61.69132433,Buffalo Soapstone,CDP,Community,870,2014,1,0,0
-163.175161,62.0514716000001,Saint Mary's,1st Class City,Community,561,2015,1,0,1
-133.6212106,56.3513641000001,Point Baker,Unincorporated CDP,Community,13,2015,1,0,0
-141.0457864,64.74518901,Eagle Village,Unincorporated CDP,Community,65,2015,1,0,0
-149.0354355,61.54162777,Butte,CDP,Community,3560,2016,0,0,0
-131.6480233,55.3424333300001,Ketchikan,Home Rule City,Community,8191,2016,0,0,0
-149.6035519,61.62425754,Meadow Lakes,CDP,Community,8336,2015,0,0,0
-149.248677,61.6932211800001,Fishhook,CDP,Community,5805,2016,0,0,0
-146.7789165,61.9898422000001,Nelchina,Unincorporated CDP,Community,64,2015,1,0,0
-135.884444,59.40389,Haines CDP,CDP,CDP,1738,2017,0,0,0
-155.9035402,59.32534731,Igiugig,CDP,Community,44,2014,1,1,1
-164.6294162,60.93686382,Newtok,Unincorporated CDP,Community,400,2014,1,0,1
-151.649954,59.4743452800001,Seldovia Village,CDP,Community,170,2015,1,0,0
-135.4457083,58.10953807,Hoonah,1st Class City,Community,783,2015,1,0,1
-157.0199138,58.72821587,Naknek,CDP,Community,494,2016,1,0,0
-141.8001468,63.0105644400001,Northway Junction,Unincorporated CDP,Place of Interest,62,2015,1,0,0
-151.7185739,59.44059723,Seldovia,1st Class City,Community,226,2015,1,0,0
-135.3116911,59.45573152,Skagway,1st Class Borough,Community,1065,2016,1,0,0
-158.0075,62.4536000000001,Flat,Unincorporated CDP,Place of Interest,0,2015,1,0,0
-145.7239404,63.9918179900001,Fort Greely,Unincorporated CDP,Place of Interest,477,2016,0,0,0
-174.2001988,52.1978076400001,Atka,2nd Class City,Community,65,2016,1,1,1
-163.1576184,59.8770966700001,Kwigillingok,Unincorporated CDP,Community,364,2015,1,0,1
-151.8340149,59.7764369000001,Anchor Point,CDP,Community,2041,2014,0,0,0
-158.4630788,59.0393744300001,Dillingham,1st Class City,Community,2431,2014,1,0,1
-158.1053547,64.7234193800001,Nulato,2nd Class City,Community,236,2015,1,0,1
-132.9777041,56.81669536,Kupreanof,2nd Class City,Community,21,2016,1,0,0
-168.0912602,65.60901955,Wales,2nd Class City,Community,171,2015,1,0,1
-143.6128541,70.1266124700001,Kaktovik,2nd Class City,Community,262,2014,1,0,1
-148.8953863,63.39242527,Cantwell,CDP,Community,196,2014,1,0,1
-134.5808463,57.4995695000001,Angoon,2nd Class City,Community,408,2016,1,1,1
-148.3372,70.2553,Prudhoe Bay,CDP,Place of Interest,2174,2015,1,0,0
-135.4422105,58.08906326,Whitestone Logging Camp,Unincorporated CDP,Place of Interest,0,2015,1,0,0
-135.447947,59.2343054,Haines Borough,Non-Unified Home Rule Borough,Community,2493,2015,1,0,0
-133.6581577,55.9551227100001,Edna Bay,2nd Class City,Community,41,2016,1,0,0
-164.5071352,60.8188798400001,Mertarvik,Unincorporated CDP,Place of Interest,0,2015,1,0,0
-164.0379401,59.9363864000001,Kipnuk,Unincorporated CDP,Community,656,2014,1,0,1
-158.4630788,59.0393744300001,Dillingham,1st Class City,Community,2316,2016,1,0,1
-155.4889493,64.7392281,Ruby,2nd Class City,Community,191,2015,1,0,1
-161.9006125,59.7514267400001,Quinhagak,2nd Class City,Community,735,2016,1,0,1
-160.3644017,61.5123629700001,Lower Kalskag,2nd Class City,Community,281,2014,1,0,1
-132.4039292,55.5396225600001,Kasaan,2nd Class City,Community,89,2016,1,0,1
-145.8954491,64.1513819800001,Whitestone,Unincorporated CDP,Community,99,2016,1,0,0
-132.99261,55.5286340000001,Klawock Lake,Unincorporated,Community,0,2015,0,0,0
-156.3947017,65.70183545,Huslia,2nd Class City,Community,326,2015,1,0,1
-160.1993288,62.65252995,Anvik,2nd Class City,Community,77,2015,1,0,1
-161.972626,60.6943313400001,Napakiak,2nd Class City,Community,379,2015,1,0,1
-156.7824387,71.29234396,North Slope Borough,Non-Unified Home Rule Borough,Community,10528,2016,1,0,0
-157.1704098,61.7026823800001,Sleetmute,Unincorporated CDP,Community,103,2014,1,0,1
-158.1058165,61.8704253700001,Crooked Creek,Unincorporated CDP,Community,92,2016,1,0,1
-159.2420218,61.57491472,Chuathbaluk,2nd Class City,Community,118,2016,1,0,1
-162.8541552,68.07171169,Red Dog Mine,CDP,Place of Interest,309,2016,1,0,0
-151.0713468,60.4895404100001,Kenai Peninsula Borough,2nd Class Borough,Community,57763,2015,1,0,0
-133.0960345,55.55450419,Klawock,1st Class City,Community,820,2015,1,0,1
-150.6371652,64.9958868300001,Manley Hot Springs,Unincorporated CDP,Community,127,2014,1,0,1
-130.0255142,55.9157523000001,Hyder,Unincorporated CDP,Community,84,2016,1,0,0
-135.4431478,58.41682002,Excursion Inlet,CDP,Place of Interest,8,2014,1,1,0
-159.5275949,61.5787638800001,Aniak,2nd Class City,Community,533,2014,1,0,1
-150.1119993,62.32317025,Talkeetna,CDP,Community,903,2016,0,0,0
-158.6190156,56.93007699,Port Heiden,2nd Class City,Community,98,2016,1,1,1
-162.0294973,60.2189059200001,Eek,2nd Class City,Community,341,2016,1,0,1
-149.2964457,61.5911199400001,Lakes,CDP,Place of Interest,8788,2014,1,0,0
-148.9409266,61.4971211500001,Knik River,CDP,Community,756,2015,1,0,0
-157.4235473,70.48213652,Atqasuk,2nd Class City,Community,248,2014,1,0,1
-160.0101102,66.60439151,Selawik,2nd Class City,Community,873,2015,1,0,1
-133.2026781,55.86896699,Naukati Bay,Unincorporated CDP,Community,104,2016,1,0,0
-143.6128541,70.1266124700001,Kaktovik,2nd Class City,Community,262,2016,1,0,1
-133.6581577,55.9551227100001,Edna Bay,2nd Class City,Community,46,2014,1,0,0
-165.5905277,61.5286181800001,Chevak,2nd Class City,Community,989,2014,1,0,1
-135.884444,59.40389,Haines CDP,CDP,CDP,1797,2011,0,0,0
-141.9517,62.9822,Northway Village,Unincorporated CDP,Community,90,2014,1,0,1
-163.4147388,54.8550308600001,False Pass,2nd Class City,Community,73,2016,1,1,1
-145.3321498,62.0110652400001,Silver Springs,Unincorporated CDP,Community,117,2015,1,0,0
-151.0430362,61.1721485100001,Beluga,CDP,Place of Interest,17,2015,1,0,0
-133.0960345,55.55450419,Klawock,1st Class City,Community,814,2016,1,0,1
-148.4788125,61.79624012,Chickaloon,CDP,Community,244,2014,0,0,0
-135.5462038,59.31301367,Lutak,CDP,Place of Interest,71,2016,1,0,0
-160.0657281,62.9064389100001,Grayling,2nd Class City,Community,191,2014,1,0,1
-149.6208307,61.51685582,Knik-Fairview,CDP,Community,16321,2014,1,0,0
-135.989808,59.3937181100001,Covenant Life,CDP,Place of Interest,71,2015,1,0,0
-161.7531971,60.7082335600001,Napaskiak,2nd Class City,Community,458,2016,1,0,1
-149.4392242,60.10312795,Seward,Home Rule City,Community,2663,2016,0,0,0
-164.2803406,60.1580149500001,Chefornak,2nd Class City,Community,457,2015,1,0,1
-156.7610097,71.2893977300001,Utqiagvik,1st Class City,Community,4933,2015,1,0,1
-157.3112886,59.4515508600001,New Stuyahok,2nd Class City,Community,499,2014,1,1,1
-159.7718289,62.1984422,Holy Cross,2nd Class City,Community,177,2014,1,0,1
-148.0123404,60.0655963200001,Chenega,Unincorporated CDP,Community,72,2016,1,0,1
-147.3971488,66.3603484600001,Beaver,Unincorporated CDP,Community,77,2014,1,0,1
-142.0352638,62.05966564,Chisana,Unincorporated CDP,Place of Interest,0,2014,1,1,0
-132.8235136,55.2059259000001,Hydaburg,1st Class City,Community,402,2015,1,1,1
-163.0091377,69.7431228900001,Point Lay,CDP,Community,269,2016,1,0,1
-160.4373192,66.9742028200001,Kiana,2nd Class City,Community,425,2015,1,0,1
-131.6673271,55.3491724900001,Ketchikan Gateway Borough,2nd Class Borough,Community,13825,2014,1,0,0
-166.4922015,65.3344880500001,Brevig Mission,2nd Class City,Community,411,2014,1,0,1
-150.9990162,70.21731414,Nuiqsut,2nd Class City,Community,449,2014,1,0,1
-154.9061,59.7547000000001,Iliamna,CDP,Community,97,2014,1,0,1
-161.1290202,65.9776538400001,Buckland,2nd Class City,Community,507,2016,1,0,1
-149.4442033,61.58209845,Wasilla,1st Class City,Community,8704,2016,0,0,0
-151.1433954,61.06808705,Tyonek,CDP,Community,182,2016,1,0,1
-135.989808,59.3937181100001,Covenant Life,CDP,Place of Interest,57,2016,1,0,0
-151.5083559,66.92186904,Bettles,2nd Class City,Community,11,2015,1,0,0
-160.3787911,59.0605115000001,Togiak,2nd Class City,Community,888,2015,1,0,1
-160.1993288,62.65252995,Anvik,2nd Class City,Community,79,2014,1,0,1
-145.7601749,60.54406292,Cordova,Home Rule City,Community,2321,2015,1,1,0
-159.05493,58.97954187,Manokotak,2nd Class City,Community,496,2016,1,1,1
-151.4527343,59.66696928,Kachemak,2nd Class City,Community,479,2016,1,0,0
-161.7713652,60.7226475400001,Oscarville,Unincorporated CDP,Community,50,2016,1,0,1
-133.6212106,56.3513641000001,Point Baker,Unincorporated CDP,Community,25,2016,1,0,0
-151.5320066,59.64718757,Homer,1st Class City,Community,5252,2016,0,0,0
-161.4490947,60.91380831,Akiachak,Unincorporated CDP,Community,701,2016,1,0,1
-145.3018732,62.3018968100001,Gakona,Unincorporated CDP,Community,217,2014,1,0,0
-135.509866,58.0558686300001,Game Creek,Unincorporated CDP,Place of Interest,21,2016,1,0,0
-164.5298469,62.7769473800001,Emmonak,2nd Class City,Community,841,2014,1,0,1
-133.1510826,55.4760442100001,Craig,1st Class City,Community,1198,2014,1,0,1
-154.4366825,57.56248915,Karluk,CDP,Community,43,2015,1,0,1
-164.8520039,62.5310651300001,Nunam Iqua,2nd Class City,Community,210,2014,1,0,1
-168.8601835,52.9401089500001,Nikolski,Unincorporated CDP,Community,15,2015,1,1,1
-157.1704098,61.7026823800001,Sleetmute,Unincorporated CDP,Community,98,2016,1,0,1
-160.0657281,62.9064389100001,Grayling,2nd Class City,Community,189,2016,1,0,1
-162.5929893,66.8966754200001,Kotzebue,2nd Class City,Community,3295,2016,1,0,1
-152.8810386,58.0041020100001,Aleneva,CDP,Place of Interest,22,2016,1,0,0
-170.2822883,57.1203994800001,Saint Paul,2nd Class City,Community,436,2014,1,0,1
-161.972626,60.6943313400001,Napakiak,2nd Class City,Community,387,2014,1,0,1
-150.1718169,65.5033866300001,Rampart,Unincorporated CDP,Community,21,2015,1,0,1
-154.375216,63.01373203,Nikolai,2nd Class City,Community,94,2016,1,0,1
-151.2488059,60.5590139000001,Kenai,Home Rule City,Community,7167,2014,0,0,0
-145.7239404,63.9918179900001,Fort Greely,Unincorporated CDP,Place of Interest,455,2014,0,0,0
-132.8282628,56.0140424900001,Coffman Cove,2nd Class City,Community,184,2014,1,0,0
-165.2513918,60.5861689800001,Tununak,Unincorporated CDP,Community,387,2016,1,0,1
-162.9885,67.5718168000001,Noatak,CDP,Community,556,2015,1,0,1
-145.8179463,66.2629693000001,Birch Creek,Unincorporated CDP,Community,23,2014,1,0,1
-156.5882554,61.7871601300001,Stony River,Unincorporated CDP,Community,34,2015,1,0,1
-133.2026781,55.86896699,Naukati Bay,Unincorporated CDP,Community,121,2015,1,0,0
-158.1053547,64.7234193800001,Nulato,2nd Class City,Community,246,2016,1,0,1
-150.3783562,61.0350394000001,Point Possession,CDP,Place of Interest,0,2016,1,0,0
-157.5773328,57.5642993500001,Pilot Point,2nd Class City,Community,78,2014,1,1,1
-135.3116911,59.45573152,Skagway,1st Class Borough,Community,1040,2015,1,0,0
-156.7824387,71.29234396,North Slope Borough,Non-Unified Home Rule Borough,Community,10249,2014,1,0,0
-145.5355408,68.12846168,Arctic Village,Unincorporated CDP,Community,175,2014,1,0,1
-154.0995667,59.78824382,Pedro Bay,CDP,Community,32,2016,1,0,1
-158.5377611,56.31042481,Chignik Lagoon,CDP,Community,85,2016,1,0,1
-146.3550808,61.13023788,Valdez,Home Rule City,Community,4011,2016,0,0,0
-168.9517919,65.7583525100001,Diomede,2nd Class City,Community,88,2016,1,1,1
-151.2237875,59.5976979500001,Halibut Cove,CDP,Place of Interest,65,2015,0,0,0
-160.4373192,66.9742028200001,Kiana,2nd Class City,Community,403,2014,1,0,1
-151.4022394,60.2264313800001,Clam Gulch,CDP,Community,194,2014,0,0,0
-150.6338845,61.49836623,Susitna,CDP,Community,13,2016,1,0,0
-159.4841633,55.9034342200001,Ivanof Bay,CDP,Place of Interest,7,2015,1,0,1
-168.0912602,65.60901955,Wales,2nd Class City,Community,167,2016,1,0,1
-164.2803406,60.1580149500001,Chefornak,2nd Class City,Community,442,2016,1,0,1
-151.5575,59.6761111000001,Diamond Ridge,CDP,Community,1191,2014,1,0,0
-149.4392242,60.10312795,Seward,Home Rule City,Community,2768,2014,0,0,0
-135.509866,58.0558686300001,Game Creek,Unincorporated CDP,Place of Interest,18,2015,1,0,0
-143.9699392,62.7065704,Slana,Unincorporated CDP,Community,128,2016,1,0,0
-149.2964457,61.5911199400001,Lakes,CDP,Place of Interest,9060,2016,1,0,0
-162.0881695,61.8814414300001,Marshall,2nd Class City,Community,459,2016,1,0,1
-149.4023031,60.1685445700001,Bear Creek,CDP,Community,2011,2014,1,0,0
-143.7278962,66.65040098,Chalkyitsik,Unincorporated CDP,Community,72,2014,1,0,1
-151.065852,60.4904472100001,Soldotna,Home Rule City,Community,4376,2016,0,0,0
-152.3974812,57.7930013600001,Kodiak,Home Rule City,Community,6329,2014,0,0,0
-145.5374067,63.9822426900001,Gold Sand Acres,Unincorporated,Community,0,2015,0,0,0
-151.7380029,59.93501064,Happy Valley,CDP,Community,624,2016,1,0,0
-151.7185739,59.44059723,Seldovia,1st Class City,Community,206,2016,1,0,0
-151.7358661,68.1418507700001,Anaktuvuk Pass,2nd Class City,Community,393,2016,1,0,1
-149.248677,61.6932211800001,Fishhook,CDP,Community,5093,2014,0,0,0
-151.6131147,59.81132569,Nikolaevsk,CDP,Community,270,2015,0,0,0
-155.9035402,59.32534731,Igiugig,CDP,Community,53,2015,1,1,1
-131.6673271,55.3491724900001,Ketchikan Gateway Borough,2nd Class Borough,Community,13778,2015,1,0,0
-135.4457083,58.10953807,Hoonah,1st Class City,Community,793,2016,1,0,1
-165.5815722,61.8428100100001,Scammon Bay,2nd Class City,Community,528,2014,1,0,1
-157.5773328,57.5642993500001,Pilot Point,2nd Class City,Community,74,2016,1,1,1
-155.5883531,62.9501408500001,McGrath,2nd Class City,Community,327,2015,1,0,1
-159.5305977,62.6553703500001,Shageluk,2nd Class City,Community,77,2016,1,0,1
-134.6469956,56.2492376800001,Port Alexander,2nd Class City,Community,58,2016,1,1,0
-133.0960345,55.55450419,Klawock,1st Class City,Community,802,2014,1,0,1
-135.8958758,59.40043417,Klukwan,Unincorporated CDP,Community,93,2014,1,0,1
-160.0657281,62.9064389100001,Grayling,2nd Class City,Community,176,2015,1,0,1
-154.375216,63.01373203,Nikolai,2nd Class City,Community,83,2014,1,0,1
-151.6131147,59.81132569,Nikolaevsk,CDP,Community,279,2014,0,0,0
-160.0322305,70.63853949,Wainwright,2nd Class City,Community,557,2015,1,0,1
-157.3112886,59.4515508600001,New Stuyahok,2nd Class City,Community,503,2015,1,1,1
-166.4922015,65.3344880500001,Brevig Mission,2nd Class City,Community,418,2016,1,0,1
-151.4527343,59.66696928,Kachemak,2nd Class City,Community,460,2014,1,0,0
-162.8831358,61.9372025100001,Pilot Station,2nd Class City,Community,625,2015,1,0,1
-149.622229,60.91793289,Hope,CDP,Community,189,2016,0,0,0
-150.3783562,61.0350394000001,Point Possession,CDP,Place of Interest,3,2015,1,0,0
-146.7789165,61.9898422000001,Nelchina,Unincorporated CDP,Community,71,2014,1,0,0
-151.5083559,66.92186904,Bettles,2nd Class City,Community,10,2016,1,0,0
-151.1425755,60.4866414200001,Kalifornsky,CDP,Community,8675,2016,1,0,0
-157.478047,59.3502442700001,Ekwok,2nd Class City,Community,110,2015,1,1,1
-152.5039855,57.9232638,Ouzinkie,2nd Class City,Community,172,2015,1,0,1
-162.3112663,55.0595082400001,King Cove,1st Class City,Community,905,2014,1,1,1
-151.8317244,59.3515619300001,Port Graham,CDP,Community,167,2016,1,0,1
-155.4889493,64.7392281,Ruby,2nd Class City,Community,178,2016,1,0,1
-156.8823728,66.9077009200001,Kobuk,2nd Class City,Community,152,2014,1,0,1
-131.6480233,55.3424333300001,Ketchikan,Home Rule City,Community,8314,2014,0,0,0
-136.3454861,58.19391484,Elfin Cove,Unincorporated CDP,Community,44,2016,1,1,0
-144.0588808,63.65794205,Dot Lake,Unincorporated CDP,Community,11,2015,1,0,0
-163.7262756,62.08954141,Mountain Village,2nd Class City,Community,860,2016,1,0,1
-131.5976178,55.3189242300001,Saxman,2nd Class City,Community,413,2015,0,0,1
-150.3783562,61.0350394000001,Point Possession,CDP,Place of Interest,3,2014,1,0,0
-151.7380029,59.93501064,Happy Valley,CDP,Community,569,2014,1,0,0
-158.5377611,56.31042481,Chignik Lagoon,CDP,Community,72,2015,1,0,1
-162.7149874,55.2065679500001,Cold Bay,2nd Class City,Community,78,2015,1,0,1
-150.2337668,62.31623367,Trapper Creek,CDP,Community,489,2016,0,0,0
-161.1943563,64.3545557,Shaktoolik,2nd Class City,Community,281,2016,1,0,1
-145.3321498,62.0110652400001,Silver Springs,Unincorporated CDP,Community,114,2014,1,0,0
-142.5196992,63.13803253,Tetlin,Unincorporated CDP,Community,110,2016,1,0,1
-158.1058165,61.8704253700001,Crooked Creek,Unincorporated CDP,Community,93,2014,1,0,1
-151.3334305,60.61773773,Salamatof,CDP,Community,1097,2016,1,0,0
-135.4422105,58.08906326,Whitestone Logging Camp,Unincorporated CDP,Place of Interest,0,2016,1,0,0
-151.2568467,60.3249378400001,Kasilof,CDP,Community,589,2014,0,0,0
-151.1433954,61.06808705,Tyonek,CDP,Community,174,2015,1,0,1
-150.0512588,62.44980587,Chase,CDP,Community,42,2014,0,0,0
-146.6817213,60.86848502,Tatitlek,Unincorporated CDP,Community,98,2015,1,1,1
-132.8235136,55.2059259000001,Hydaburg,1st Class City,Community,405,2014,1,1,1
-133.1510826,55.4760442100001,Craig,1st Class City,Community,1102,2016,1,0,1
-143.9699392,62.7065704,Slana,Unincorporated CDP,Community,149,2015,1,0,0
-133.3478063,57.46425365,Hobart Bay,CDP,Place of Interest,1,2014,1,0,0
-166.849516,65.2618559900001,Port Clarence,Unincorporated CDP,Place of Interest,0,2016,1,0,0
-150.1895984,67.25623468,Coldfoot,Unincorporated CDP,Place of Interest,9,2015,1,0,0
-158.5377611,56.31042481,Chignik Lagoon,CDP,Community,78,2014,1,0,1
-156.7610097,71.2893977300001,Utqiagvik,1st Class City,Community,4437,2011,1,0,1
-134.6469956,56.2492376800001,Port Alexander,2nd Class City,Community,62,2015,1,1,0
-155.4370226,61.3553888800001,Lime Village,Unincorporated CDP,Community,36,2016,1,0,1
