Longitude,Latitude,Community,IncorporationType,AreaType,Population,Year,Is_Subsistence_Use,Is_Essential_Air_Service,Is_Environmentally_Threatened
-160.0101102,66.60439151,Selawik,2nd Class City,Community,876,2014,1,0,1
-145.1796574,61.66126868,Tonsina,Unincorporated CDP,Place of Interest,77,2016,1,0,0
-149.0111034,61.69132433,Buffalo Soapstone,CDP,Community,876,2015,1,0,0
-163.7262756,62.08954141,Mountain Village,2nd Class City,Community,857,2014,1,0,1
-161.8147503,59.00848275,Platinum,2nd Class City,Community,60,2015,1,0,1
-171.7188264,63.7768845400001,Gambell,2nd Class City,Community,698,2015,1,0,1
-158.1058165,61.8704253700001,Crooked Creek,Unincorporated CDP,Community,105,2015,1,0,1
-154.4366825,57.56248915,Karluk,CDP,Community,24,2016,1,0,1
-162.5929893,66.8966754200001,Kotzebue,2nd Class City,Community,3153,2014,1,0,1
-157.0199138,58.72821587,Naknek,CDP,Community,521,2014,1,0,0
-150.7970364,60.5370290800001,Sterling,CDP,Community,6011,2016,0,0,0
-149.8191587,61.5522787300001,Big Lake,CDP,Community,3575,2015,0,0,0
-164.6675476,62.6869771400001,Alakanuk,2nd Class City,Community,708,2015,1,0,1
-149.0907414,64.56270921,Nenana,Home Rule City,Community,381,2016,1,0,1
-157.478047,59.3502442700001,Ekwok,2nd Class City,Community,113,2016,1,1,1
-132.99261,55.5286340000001,Klawock Lake,Unincorporated,Community,0,2014,0,0,0
-150.0435938,62.1312135000001,Susitna North,CDP,Place of Interest,1379,2015,1,0,0
-163.0091377,69.7431228900001,Point Lay,CDP,Community,215,2014,1,0,1
-149.1907816,64.34335795,Anderson,2nd Class City,Community,238,2016,1,0,0
-141.8001468,63.0105644400001,Northway Junction,Unincorporated CDP,Place of Interest,57,2016,1,0,0
-156.3947017,65.70183545,Huslia,2nd Class City,Community,326,2016,1,0,1
-166.849516,65.2618559900001,Port Clarence,Unincorporated CDP,Place of Interest,0,2015,1,0,0
-158.5479769,58.8345343,Clark's Point,2nd Class City,Community,48,2014,1,1,1
-154.3280837,60.19602229,Port Alsworth,CDP,Community,218,2016,1,0,0
-131.6480233,55.3424333300001,Ketchikan,Home Rule City,Community,8277,2015,0,0,0
-146.5383,62.0494,Mendeltna,Unincorporated CDP,Community,38,2015,1,0,0
-157.0172713,58.7273345300001,Bristol Bay Borough,2nd Class Borough,Community,887,2015,1,0,0
-160.3644017,61.5123629700001,Lower Kalskag,2nd Class City,Community,288,2016,1,0,1
-144.6641875,62.5663622600001,Chistochina,Unincorporated CDP,Community,95,2014,1,0,1
-144.6018116,63.67518647,Dry Creek,Unincorporated CDP,Community,104,2014,1,0,0
-159.2420218,61.57491472,Chuathbaluk,2nd Class City,Community,145,2015,1,0,1
-154.0995667,59.78824382,Pedro Bay,CDP,Community,47,2015,1,0,1
-132.8282628,56.0140424900001,Coffman Cove,2nd Class City,Community,199,2015,1,0,0
-163.175161,62.0514716000001,Saint Mary's,1st Class City,Community,550,2014,1,0,1
-158.6190156,56.93007699,Port Heiden,2nd Class City,Community,114,2014,1,1,1
-161.8147503,59.00848275,Platinum,2nd Class City,Community,48,2016,1,0,1
-170.4840268,63.6929776000001,Savoonga,2nd Class City,Community,729,2016,1,0,1
-156.3947017,65.70183545,Huslia,2nd Class City,Community,338,2014,1,0,1
-135.4431478,58.41682002,Excursion Inlet,CDP,Place of Interest,9,2015,1,1,0
-154.4366825,57.56248915,Karluk,CDP,Community,43,2014,1,0,1
-149.6035519,61.62425754,Meadow Lakes,CDP,Community,8540,2016,0,0,0
-131.573307,55.1260739100001,Metlakatla,Indian reservation organized under federal law,Community,1480,2015,1,0,0
-166.0964332,61.5308796900001,Hooper Bay,2nd Class City,Community,1178,2014,1,0,1
-160.4821141,55.3445109900001,Aleutians East Borough,2nd Class Borough,Community,3096,2014,1,0,0
-161.7531971,60.7082335600001,Napaskiak,2nd Class City,Community,444,2015,1,0,1
-163.5565366,63.0331139900001,Kotlik,2nd Class City,Community,645,2015,1,0,1
-156.6676467,58.6813712700001,Lake and Peninsula Borough,Non-Unified Home Rule Borough,Community,1672,2014,1,0,0
-149.1177581,61.5997057600001,Palmer,Home Rule City,Community,6268,2016,0,0,0
-146.4218093,67.0167170700001,Venetie,Unincorporated CDP,Community,192,2016,1,0,1
-163.0091377,69.7431228900001,Point Lay,CDP,Community,189,2015,1,0,1
-163.1576184,59.8770966700001,Kwigillingok,Unincorporated CDP,Community,349,2014,1,0,1
-154.7491854,59.4400057400001,Kokhanok,CDP,Community,152,2016,1,0,1
-151.6751012,60.04305213,Ninilchik,CDP,Community,855,2014,0,0,1
-150.1895984,67.25623468,Coldfoot,Unincorporated CDP,Place of Interest,11,2014,1,0,0
-151.8340149,59.7764369000001,Anchor Point,CDP,Community,2043,2016,0,0,0
-151.8317244,59.3515619300001,Port Graham,CDP,Community,168,2015,1,0,1
-133.1220631,56.11714153,Whale Pass,CDP,Community,39,2015,1,0,0
-147.7260063,61.79346959,Glacier View,CDP,Community,245,2016,1,0,0
-150.9159762,59.8535156300001,Fox River,CDP,Place of Interest,644,2015,1,0,0
-152.5037,57.7381,Kodiak Station,CDP,Place of Interest,1302,2016,0,0,0
-135.447947,59.2343054,Haines Borough,Non-Unified Home Rule Borough,Community,2530,2013,1,0,0
-147.3971488,66.3603484600001,Beaver,Unincorporated CDP,Community,69,2016,1,0,1
